Year,African Contemporary & Diaspora,Asian & Middle Eastern,Caribbean & Afro-Caribbean,Classical & Orchestral,Comedy / Novelty / Spoken Word,Country & Americana,Electronic & Dance,Experimental & Avant-Garde,Folk / Acoustic / Roots,Hip-Hop & Rap,Holiday & Seasonal,Italian Disco & Dance,Jazz & Blues,Latin & Regional Mexican,Metal,Pop,R&B / Soul / Funk,Rock & Alternative,Soundtrack & Stage,African Contemporary & Diaspora_binary,Asian & Middle Eastern_binary,Caribbean & Afro-Caribbean_binary,Classical & Orchestral_binary,Comedy / Novelty / Spoken Word_binary,Country & Americana_binary,Electronic & Dance_binary,Experimental & Avant-Garde_binary,Folk / Acoustic / Roots_binary,Hip-Hop & Rap_binary,Holiday & Seasonal_binary,Italian Disco & Dance_binary,Jazz & Blues_binary,Latin & Regional Mexican_binary,Metal_binary,Pop_binary,R&B / Soul / Funk_binary,Rock & Alternative_binary,Soundtrack & Stage_binary
1958,0.0,0.0,277.0,2289.0,774.0,8082.0,1012.0,0.0,3508.0,2130.0,2925.0,1440.0,42587.0,1678.0,3.0,23621.0,11249.0,16820.0,4366.0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1959,0.0,0.0,1708.0,1809.0,4827.0,22009.0,1574.0,0.0,9273.0,3410.0,4001.0,78.0,78851.0,1987.0,582.0,62365.0,29367.0,52428.0,4688.0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1960,0.0,0.0,0.0,6462.0,735.0,32914.0,2435.0,36.0,5809.0,5174.0,4515.0,2.0,79597.0,2475.0,1052.0,63319.0,34340.0,48723.0,2655.0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1961,0.0,0.0,221.0,3680.0,901.0,24674.0,4295.0,142.0,5859.0,6668.0,5704.0,0.0,89205.0,2513.0,0.0,64954.0,45668.0,51241.0,3601.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
1962,0.0,0.0,1424.0,3431.0,4074.0,14004.0,3152.0,756.0,2771.0,5891.0,8664.0,0.0,92176.0,1369.0,0.0,63708.0,47999.0,39624.0,3051.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
1963,0.0,0.0,565.0,5526.0,2450.0,12310.0,2774.0,0.0,11304.0,3813.0,8804.0,0.0,79346.0,4889.0,445.0,69713.0,58469.0,42319.0,1394.0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1964,0.0,0.0,2541.0,5889.0,420.0,11684.0,2854.0,860.0,5714.0,7814.0,7921.0,466.0,54223.0,1424.0,369.0,51701.0,76683.0,79689.0,1598.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1965,0.0,0.0,2249.0,11139.0,1074.0,18603.0,7040.0,126.0,9423.0,9858.0,2490.0,0.0,49627.0,2088.0,1249.0,62512.0,71577.0,64648.0,2482.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1966,0.0,0.0,499.0,15783.0,2027.0,14071.0,7834.0,194.0,14738.0,4755.0,1287.0,0.0,39475.0,3494.0,712.0,61971.0,74822.0,76754.0,575.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1967,716.0,0.0,749.0,16832.0,958.0,7536.0,3110.0,261.0,15728.0,6377.0,6355.0,0.0,24587.0,2459.0,17.0,76020.0,83878.0,62048.0,809.0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1968,48.0,0.0,1576.0,11297.0,1383.0,11215.0,5772.0,0.0,6448.0,3369.0,4451.0,94.0,29243.0,2085.0,163.0,67545.0,104820.0,62985.0,2557.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1969,0.0,33.0,2500.0,5738.0,3163.0,15954.0,11701.0,0.0,10927.0,2510.0,1684.0,1067.0,21818.0,3533.0,510.0,65347.0,106299.0,61865.0,645.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1970,0.0,0.0,1558.0,3631.0,1719.0,20378.0,5534.0,0.0,14328.0,5975.0,6644.0,662.0,15890.0,4320.0,114.0,85217.0,89608.0,65073.0,1332.0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1971,0.0,562.0,1334.0,2399.0,2284.0,20454.0,4154.0,0.0,19695.0,2777.0,7935.0,918.0,13282.0,2117.0,1587.0,79129.0,86239.0,63950.0,2980.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1972,28.0,1591.0,2938.0,4318.0,206.0,15573.0,3226.0,0.0,18084.0,9354.0,2888.0,485.0,22259.0,1202.0,631.0,85969.0,82381.0,63772.0,1748.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1973,1231.0,3477.0,4810.0,2882.0,2506.0,16096.0,4260.0,0.0,15147.0,7986.0,6028.0,747.0,15241.0,1734.0,134.0,76376.0,90797.0,61196.0,4199.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1974,0.0,997.0,363.0,695.0,3301.0,18290.0,2978.0,0.0,18743.0,4219.0,5194.0,2050.0,12292.0,2097.0,918.0,75284.0,95470.0,62192.0,3334.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1975,0.0,2450.0,1823.0,631.0,2982.0,24250.0,2778.0,16.0,14957.0,3242.0,6217.0,0.0,10428.0,7153.0,367.0,86691.0,82645.0,63675.0,4571.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
