Year,Artist,Count,Rank
1960,Connie Francis,101,7015
1960,The Everly Brothers,87,5621
1960,Jackie Wilson,87,5453
1960,Bobby Rydell,84,5979
1960,Brenda Lee,82,6003
1960,Paul Anka,81,4961
1960,Hank Ballard,79,5107
1960,The Midnighters,79,5107
1960,Fats Domino,79,4553
1960,Bobby Darin,73,4165
1960,Elvis Presley,72,5212
1960,The Jordanaires,71,5208
1960,Brook Benton,60,3499
1960,Marty Robbins,60,2824
1960,Frankie Avalon,59,3066
1960,Jack Scott,56,3305
1960,Marv Johnson,53,2737
1960,Lloyd Price,52,2394
1960,Jim Reeves,50,3124
1960,Little Willie John,50,2013
1960,Bill Black's Combo,49,3446
1960,Dinah Washington,48,2940
1960,Johnny Preston,45,3140
1960,Roy Orbison,44,2579
1960,The Drifters,44,2569
1960,Ricky Nelson,44,2325
1960,Dion,43,2488
1960,Pat Boone,43,1931
1960,Sam Cooke,42,2677
1960,Anita Bryant,40,2367
1960,The Platters,40,2261
1960,The Fleetwoods,39,2054
1960,The Crests,39,1951
1960,Ray Charles,39,1718
1960,Jimmy Jones,37,2592
1960,Johnny Horton,37,2500
1960,Deane Hawley,36,2164
1960,Jimmy Clanton,36,1792
1960,Jimmie Rodgers,36,1423
1960,The Olympics,36,1097
1960,Charlie Ryan,35,1386
1960,the Timberline Riders,35,1386
1960,The Brothers Four,34,1891
1960,The Browns,34,1821
1960,Neil Sedaka,34,1754
1960,Johnny And The Hurricanes,34,1467
1960,Adam Wade,34,996
1960,Johnny Tillotson,33,1846
1960,The Flamingos,33,1190
1960,Fabian,32,1803
1961,Connie Francis,84,5431
1961,Elvis Presley,83,5986
1961,Fats Domino,71,3969
1961,Chubby Checker,70,4629
1961,Brenda Lee,69,4839
1961,The Shirelles,69,4565
1961,Jackie Wilson,65,3109
1961,Brook Benton,58,3486
1961,Ferrante,53,3154
1961,Roy Orbison,52,3634
1961,Bobby Vee,52,3192
1961,The Jordanaires,50,3572
1961,Adam Wade,50,3012
1961,Linda Scott,50,2949
1961,Jerry Butler,48,3003
1961,Hank Ballard,48,2406
1961,The Midnighters,48,2406
1961,Floyd Cramer,46,2885
1961,The Drifters,46,2836
1961,Del Shannon,45,3096
1961,Ben E. King,45,2539
1961,The Everly Brothers,44,2651
1961,Bobby Darin,42,2476
1961,Ricky Nelson,41,2948
1961,The String-A-Longs,40,2358
1961,The Marcels,40,2323
1961,Bert Kaempfert,37,2349
1961,Pat Boone,37,2125
1961,Bobby Lewis,36,2535
1961,Gene McDaniels,36,2520
1961,Neil Sedaka,36,2460
1961,Dion,36,2241
1961,Bobby Rydell,36,2179
1961,The Miracles,34,1794
1961,Frank Gari,34,1741
1961,Ral Donner,33,2022
1961,Ray Charles,33,1809
1961,Marty Robbins,32,1721
1961,Bill Black's Combo,32,1562
1961,Etta James,32,1220
1961,Clarence Henry,31,1902
1961,Johnny Burnette,31,1770
1961,Johnny Tillotson,31,1635
1961,Patti Page,31,1082
1961,The Highwaymen,30,1749
1961,Shep And The Limelites,29,1494
1961,Little Willie John,29,689
1961,Hayley Mills,28,1996
1961,Paul Anka,28,1763
1961,Ernie K-Doe,28,1514
1962,Elvis Presley,80,5856
1962,Brenda Lee,74,4821
1962,The Jordanaires,70,5194
1962,Ray Charles,61,3731
1962,Jimmy Dean,60,3340
1962,Sam Cooke,58,3525
1962,Dion,56,3813
1962,Dee Dee Sharp,53,4169
1962,Joey Dee,50,3233
1962,Connie Francis,50,3200
1962,Gene Pitney,47,3074
1962,Bobby Darin,47,2935
1962,Bobby Vee,47,2885
